"Refl Name","Month","Day","Year","Hour","Minute","Second","Radius","Theta","Phi","Mode"
5,5,26,2012,19,32,30,1.27E-005,-1.90E-005,3.33E-005,"ADM"
"6",5,26,2012,19,33,54,1.2330233224222553E-5,-1.1631262603284398E-5,3.545287537809472E-5,ADM
"7",5,26,2012,19,34,27,1.3469722099479498E-5,-1.2794491544010356E-5,3.551140281099485E-5,ADM
"5",5,26,2012,19,35,59,1.2494419237896182E-5,-1.852449937866929E-5,3.293002113424759E-5,ADM
"5",5,26,2012,19,36,44,1.2507911511860925E-5,-1.9364496348206472E-5,3.2735817477980156E-5,ADM
"5",5,26,2012,19,37,38,1.1857253688241087E-5,-1.951990927806513E-5,3.218490950873676E-5,ADM
"6",5,26,2012,19,38,9,1.1027902951710189E-5,-1.2070780766704203E-5,3.569868187081049E-5,ADM
"6",5,26,2012,19,38,40,1.1913527062645812E-5,-1.1526773590730954E-5,3.488251878924764E-5,ADM
"6",5,26,2012,19,39,12,1.2093720777262007E-5,-1.1106796947712994E-5,3.444280661080157E-5,ADM
"7",5,26,2012,19,39,47,1.0393056019353253E-5,-1.3957291677302308E-5,3.520750594754318E-5,ADM
"7",5,26,2012,19,40,16,1.2168189348127356E-5,-1.4074333560598618E-5,3.490415714124673E-5,ADM
"7",5,26,2012,19,40,45,1.2214236197571893E-5,-1.415053405229294E-5,3.6045424686603766E-5,ADM
"5",5,26,2012,19,42,10,2.710938504790761E-6,-2.0767836000468165E-5,3.474084470711514E-5,IFM
"5",5,26,2012,19,42,46,4.362441313521259E-6,-2.163450761893948E-5,3.306018474436012E-5,IFM
"5",5,26,2012,19,43,17,5.942744429887625E-7,-2.093465646590964E-5,3.340635591153607E-5,IFM
"6",5,26,2012,19,44,36,3.862838531709656E-6,-1.5488319692780195E-5,3.6259875607846936E-5,IFM
"6",5,26,2012,19,45,7,-2.8213874854188248E-6,-1.4845083566639161E-5,3.639787465226085E-5,IFM
"6",5,26,2012,19,45,44,-3.371615448610754E-6,-1.4155037840080098E-5,3.66540974965357E-5,IFM
"7",5,26,2012,19,46,24,-7.400207877594767E-7,-1.5887106731282685E-5,3.682973708207804E-5,IFM
"7",5,26,2012,19,47,2,1.3787932937603387E-6,-1.5672606736627515E-5,3.6984374999882164E-5,IFM
"7",5,26,2012,19,47,33,6.38410456499372E-7,-1.6471970978537698E-5,3.560417949244332E-5,IFM
"5",5,26,2012,19,48,17,1.0013345276060903E-5,-2.3271162416405033E-5,3.342455127763877E-5,IFMBYADM
"5",5,26,2012,19,48,50,1.1015452579421492E-5,-2.2695495340396832E-5,3.354693212442861E-5,IFMBYADM
"5",5,26,2012,19,49,22,1.2239157057614136E-5,-2.3176668584312665E-5,3.378185935998257E-5,IFMBYADM
"6",5,26,2012,19,49,58,1.1268539750197704E-5,-1.609453078033063E-5,3.747370760143198E-5,IFMBYADM
"6",5,26,2012,19,50,28,1.0932229606464006E-5,-1.5311450449306818E-5,3.7290308504189795E-5,IFMBYADM
"6",5,26,2012,19,50,59,1.0353436034726826E-5,-1.525922825318382E-5,3.7403909477706776E-5,IFMBYADM
"7",5,26,2012,19,51,43,9.951356482851281E-6,-1.7759020300101014E-5,3.665943784469938E-5,IFMBYADM
"7",5,26,2012,19,52,13,1.0681773304543896E-5,-1.7573377645963006E-5,3.739842779793001E-5,IFMBYADM
"7",5,26,2012,19,52,46,1.1357659630562011E-5,-1.8227873474829792E-5,3.699309617877233E-5,IFMBYADM
